"","year","Over 1.5","1.25 to 1.5","1 to 1.25","Less than 1","tot"
"1",1940,0,0,0,366,0
"2",1941,0,0,0,365,0
"3",1942,0,0,0,365,0
"4",1943,0,0,0,365,0
"5",1944,0,0,0,366,0
"6",1945,0,0,0,365,0
"7",1946,0,0,0,365,0
"8",1947,0,0,0,365,0
"9",1948,0,0,0,366,0
"10",1949,0,0,0,365,0
"11",1950,0,0,0,365,0
"12",1951,0,0,0,365,0
"13",1952,0,0,0,366,0
"14",1953,0,0,0,365,0
"15",1954,0,0,0,365,0
"16",1955,0,0,0,365,0
"17",1956,0,0,0,366,0
"18",1957,0,0,0,365,0
"19",1958,0,0,1,364,1
"20",1959,0,0,0,365,0
"21",1960,0,0,0,366,0
"22",1961,0,0,0,365,0
"23",1962,0,0,0,365,0
"24",1963,0,0,0,365,0
"25",1964,0,0,0,366,0
"26",1965,0,0,0,365,0
"27",1966,0,0,0,365,0
"28",1967,0,0,0,365,0
"29",1968,0,0,0,366,0
"30",1969,0,0,0,365,0
"31",1970,0,0,0,365,0
"32",1971,0,0,0,365,0
"33",1972,0,0,0,366,0
"34",1973,0,0,0,365,0
"35",1974,0,0,0,365,0
"36",1975,0,0,0,365,0
"37",1976,0,0,0,366,0
"38",1977,0,0,0,365,0
"39",1978,0,0,0,365,0
"40",1979,0,0,2,363,2
"41",1980,0,0,0,366,0
"42",1981,0,0,0,365,0
"43",1982,0,0,2,363,2
"44",1983,0,0,4,361,4
"45",1984,0,0,0,366,0
"46",1985,0,0,0,365,0
"47",1986,0,0,0,365,0
"48",1987,0,0,5,360,5
"49",1988,0,0,1,365,1
"50",1989,0,0,0,365,0
"51",1990,0,0,22,343,22
"52",1991,0,0,4,361,4
"53",1992,0,0,0,366,0
"54",1993,0,0,0,365,0
"55",1994,0,0,1,364,1
"56",1995,0,5,16,344,21
"57",1996,0,0,2,364,2
"58",1997,0,0,15,350,15
"59",1998,0,3,103,259,106
"60",1999,0,0,12,353,12
"61",2000,0,0,8,358,8
"62",2001,0,0,34,331,34
"63",2002,0,12,73,280,85
"64",2003,0,3,67,295,70
"65",2004,0,4,30,332,34
"66",2005,0,3,137,225,140
"67",2006,0,7,88,270,95
"68",2007,0,37,66,262,103
"69",2008,0,0,33,333,33
"70",2009,0,2,95,268,97
"71",2010,0,44,128,193,172
"72",2011,0,0,53,312,53
"73",2012,0,3,118,245,121
"74",2013,0,7,118,240,125
"75",2014,0,14,143,208,157
"76",2015,16,80,190,79,286
"77",2016,77,123,160,6,360
"78",2017,35,113,175,42,323
"79",2018,6,72,227,60,305
"80",2019,29,170,164,2,363
"81",2020,58,161,140,7,359
"82",2021,0,83,249,33,332
"83",2022,8,88,250,19,346
"84",2023,173,122,70,0,365
